ID,Address,Rooms,Type,Price,Date,Bathroom,Car,Landsize,Age,Lattitude,Longtitude
ID155633325,6 Shepherd St,3,h,2100000.0,4/06/2016,2.0,2.0,1255.0,49.0,-37.8322,145.1056
ID199093294,1/312 Hope St,1,u,351000.0,27/11/2016,1.0,1.0,0.0,69.0,-37.7614,144.9393
ID457288014,503/120 Greville St,3,u,1350000.0,12/11/2016,2.0,2.0,0.0,119.0,-37.8493,144.9908
ID903676173,11/781 Whitehorse Rd,2,u,520000.0,28/05/2016,1.0,1.0,0.0,14.0,-37.8161,145.1098
ID694412018,85 Montague St,3,h,700000.0,18/06/2016,1.0,0.0,199.0,72.0,-37.8299,144.9496
ID769168240,4/1 Oconnell St,2,u,380000.0,25/02/2017,1.0,1.0,128.0,49.0,-37.715,145.043
ID651911400,57 Ruthven St,3,h,850000.0,23/09/2017,1.0,2.0,690.0,7.0,-37.72998,145.06134
ID645812806,37 Waltham St,2,h,1225000.0,9/09/2017,1.0,1.0,150.0,129.0,-37.78363,144.92997
ID750161317,316 Belmore Rd,4,h,1750000.0,10/12/2016,3.0,2.0,453.0,3.0,-37.8044,145.1006
ID704123046,55 Fakenham Rd,4,h,1972500.0,27/05/2017,1.0,1.0,676.0,19.0,-37.86223,145.08696
ID941874230,29 Gillespie Rd,3,h,626000.0,19/08/2017,1.0,2.0,557.0,34.0,-37.734970000000004,144.7864
ID487715826,9/129 The Parade,3,u,487500.0,27/06/2016,1.0,3.0,0.0,47.0,-37.7723,144.9094
ID597299520,28 Carron St,4,h,1593000.0,3/06/2017,3.0,2.0,598.0,69.0,-37.781420000000004,145.09226999999996
ID165509454,2 Dunk Ct,3,h,418000.0,27/05/2017,2.0,1.0,435.0,45.0,-37.867670000000004,144.68409
ID779610164,55 Warburton Rd,3,h,1385000.0,18/06/2016,1.0,1.0,444.0,109.0,-37.826,145.0734
ID945982235,14 Woodmason St,3,h,1437000.0,16/04/2016,1.0,1.0,313.0,109.0,-37.8511,145.0317
ID980549701,430 Whitehorse Rd,3,h,1050000.0,24/06/2017,2.0,2.0,444.0,74.0,-37.81411,145.09055
ID393520621,10 Botherambo St,2,t,1200000.0,25/02/2017,2.0,1.0,170.0,79.0,-37.8229,144.9931
ID861137063,1/5 Daventry St,2,u,424000.0,18/06/2016,1.0,1.0,141.0,39.0,-37.7149,145.0009
ID659624465,90 Truganini Rd,4,h,1550000.0,12/11/2016,2.0,2.0,757.0,89.0,-37.8925,145.0541
ID799566632,2/422 St Kilda St,3,t,1475000.0,7/11/2016,2.0,2.0,345.0,19.0,-37.8943,144.9907
ID404416437,23 Hotham St,3,h,650000.0,28/05/2016,1.0,2.0,327.0,44.0,-37.7709,145.1104
ID918782307,2 Derry St,4,h,1740000.0,29/04/2017,2.0,2.0,746.0,69.0,-37.7595,144.8993
ID602203605,44 Morley St,4,h,825000.0,30/07/2016,2.0,4.0,768.0,49.0,-37.6979,144.9377
ID217886570,9/561 Spencer St,3,u,995000.0,18/03/2017,1.0,1.0,0.0,79.0,-37.8076,144.9474
ID618691010,95 Pellatt St,4,h,1611000.0,12/08/2017,2.0,2.0,650.0,64.0,-37.98354000000001,145.04261
ID927300574,41 Gordon St,3,t,950000.0,29/07/2017,2.0,2.0,211.0,49.0,-37.83712,144.86686
ID826514371,48 Elder St,4,h,1695000.0,3/06/2017,3.0,4.0,696.0,69.0,-37.81726,145.16061000000005
ID330113248,77 Fraser Av,3,h,837000.0,23/09/2017,1.0,1.0,441.0,49.0,-38.03804,145.11728
ID267271912,4 Bolton Av,3,h,2515000.0,16/09/2017,2.0,2.0,604.0,5.0,-37.93105,144.99437
ID659821767,5/19 Livingstone St,2,u,690000.0,15/10/2016,1.0,1.0,103.0,49.0,-37.7671,145.0408
ID519999036,2/60 David St,2,h,535600.0,30/07/2016,1.0,1.0,154.0,23.0,-37.8646,144.8272
ID223340995,8/58 Sutherland Rd,2,u,592500.0,10/12/2016,1.0,1.0,0.0,49.0,-37.8574,145.0174
ID978383274,2/3 Golf Rd,2,u,625000.0,27/11/2016,1.0,1.0,204.0,57.0,-37.9107,145.0891
ID988125468,44 Graham Rd,3,h,1430000.0,8/07/2017,1.0,0.0,703.0,49.0,-37.9511,145.04171000000005
ID265606098,8/67 High St,2,u,700000.0,12/11/2016,1.0,1.0,0.0,131.0,-37.851,144.988
ID623658993,43 Omar St,3,h,915000.0,17/09/2016,1.0,3.0,667.0,7.0,-37.7784,144.8708
ID809656740,66 Fromer St,3,h,1470000.0,11/02/2017,2.0,2.0,613.0,69.0,-37.929,145.0464
ID754145824,26 Newsom St,3,h,1000000.0,12/11/2016,2.0,2.0,440.0,64.0,-37.7746,144.9031
ID964489067,18 Rose St,2,h,1705000.0,20/05/2017,2.0,0.0,195.0,8.0,-37.851,145.0156
