ID,Address,Suburb,Price,Type,Date,Rooms,Bathroom,Car,LandSize,Age,Latitude,Longitude,train_station_id,distance_to_train_station,travel_min_to_CBD,over_priced?,crime_A_average,crime_B_average,crime_C_average,closest_primary_school,distance_to_closest_primary,primary_school_ranking,closest_secondary_school,distance_to_closestsecondary,secondary_school_ranking
ID155633325,6 Shepherd St,SURREY HILLS,2100000.0,h,4/06/2016,3,2.0,2.0,1255.0,49.0,-37.8322,145.1056,19895.0,1078.7,26.04,False,2403.667,5212.333,586.667,Our Lady of Perpetual Succour School,562.1,178,Kingswood College,1147.2,106
ID199093294,1/312 Hope St,BRUNSWICK WEST,351000.0,u,27/11/2016,1,1.0,1.0,0.0,69.0,-37.7614,144.9393,20038.0,1836.0,15.27,False,958.667,5673.0,628.0,St Joseph's School,339.0,113,Brunswick Secondary College,1740.5,211
ID457288014,503/120 Greville St,PRAHRAN,1350000.0,u,12/11/2016,3,2.0,2.0,0.0,119.0,-37.8493,144.9908,19958.0,86.1,15.67,False,659.0,5219.333,338.333,Wesley College,762.7,202,Prahran High School,313.3,not ranked
ID903676173,11/781 Whitehorse Rd,MONT ALBERT,520000.0,u,28/05/2016,2,1.0,1.0,0.0,14.0,-37.8161,145.1098,19896.0,527.3,29.1,False,278.0,489.0,65.0,Mont Albert Primary School,707.0999999999999,135,Box Hill Senior Secondary College,785.5,not ranked
ID694412018,85 Montague St,SOUTHBANK,700000.0,h,18/06/2016,3,1.0,0.0,199.0,72.0,-37.8299,144.9496,20043.0,1312.9,0.0,False,1100.667,3636.333,457.333,South Melbourne Primary School,348.4,not ranked,Victorian College Of The Arts Secondary School,1346.4,not ranked
ID769168240,4/1 Oconnell St,KINGSBURY,380000.0,u,25/02/2017,2,1.0,1.0,128.0,49.0,-37.715,145.043,19983.0,2608.0,35.87,False,92.333,260.0,36.667,Kingsbury Primary School,523.0,not ranked,Reservoir High School,1417.6,346
ID651911400,57 Ruthven St,ROSANNA,850000.0,h,23/09/2017,3,1.0,2.0,690.0,7.0,-37.72998,145.06134,19983.0,816.8,35.87,False,885.0,1901.0,227.667,Charles La Trobe P-12 College,262.40000000000003,not ranked,Charles La Trobe P-12 College,262.40000000000003,465
ID645812806,37 Waltham St,FLEMINGTON,1225000.0,h,9/09/2017,2,1.0,1.0,150.0,129.0,-37.78363,144.92997,20040.0,420.8,11.27,False,2047.667,9171.0,742.333,St Brendan's School,194.89999999999998,not ranked,Mount Alexander 7-12 College,330.90000000000003,not ranked
ID750161317,316 Belmore Rd,BALWYN,1750000.0,h,10/12/2016,4,3.0,2.0,453.0,3.0,-37.8044,145.1006,19896.0,1728.0,29.1,False,925.667,4701.333,308.667,Greythorn Primary School,525.2,93,Box Hill Senior Secondary College,1131.2,not ranked
ID704123046,55 Fakenham Rd,ASHBURTON,1972500.0,h,27/05/2017,4,1.0,1.0,676.0,19.0,-37.86223,145.08696,19848.0,494.4,31.0,False,1672.667,10063.667,646.333,Ashburton Primary School,293.4,106,Ashwood High School,1461.0,241
